questions,score_gpt-4,score_gpt-3.5-turbo,score_gpt-3.5-turbo-16k
AGE-ADJUSTED MORTALITY RATE,10,10,10
ATTRIBUTABLE PROPORTION,9,9,10
BIAS,10,10,10
CARRIER,9,9,9
CASE,8,0,0
CASE-CONTROL STUDY,9,10,10
CAUSE-SPECIFIC MORTALITY RATE,9,10,10
CLUSTER,9,9,9
COHORT STUDY,9,9,9
ONFIDENCE INTERVAL,9,10,10
CONTAGIOUS,10,10,10
CONTROL,2,2,2
DEMOGRAPHIC INFORMATION,9,9,9
ENDEMIC DISEASE,9,10,10
EXPERIMENTAL STUDY,8,9,9
HEALTH INFORMATION SYSTEM,8,9,9
HOST,10,9,9
HYPERENDEMIC DISEASE,10,9,9
"IMMUNITY, PASSIVE",10,10,9
INCIDENCE RATE,10,10,10
INCUBATION PERIOD,9,9,9
MEDICAL SURVEILLANCE,7,8,9
MORTALITY RATE,9,9,9
NORMAL DISTRIBUTION,10,10,10
OBSERVATIONAL STUDY,9,9,9
ODDS RATIO,9,9,9
OUTBREAK,8,9,9
PANDEMIC,10,10,9
PERIOD PREVALENCE,9,9,9
POINT PREVALENCE,10,9,9
PREDICTIVE VALUE POSITIVE,8,5,7
PREVALENCE RATE,10,10,10
PUBLIC HEALTH SURVEILLANCE,10,10,10
RANDOM SAMPLE,9,10,10
RELATIVE RISK,9,9,10
RESERVOIR,10,10,10
RISK RATIO,10,10,10
SENSITIVITY,9,8,8
SPECIFICITY,9,9,9
VALIDITY,10,9,9
VECTOR,9,9,9
YEARS OF POTENTIAL LIFE LOST,10,10,10
ZOONOSES,9,10,10
