questions,score_gpt-3.5-turbo,score_gpt-3.5-turbo-16k
AGE-ADJUSTED MORTALITY RATE,9,9
ATTRIBUTABLE PROPORTION,9,8
BIAS,9,9
CARRIER,8,8
CASE,8,8
CASE-CONTROL STUDY,9,9
CAUSE-SPECIFIC MORTALITY RATE,8,8
CLUSTER,8,8
COHORT STUDY,9,10
ONFIDENCE INTERVAL,8,8
CONTAGIOUS,9,9
CONTROL,8,8
DEMOGRAPHIC INFORMATION,8,8
ENDEMIC DISEASE,10,10
EXPERIMENTAL STUDY,8,8
HEALTH INFORMATION SYSTEM,8,8
HOST,9,9
HYPERENDEMIC DISEASE,8,8
"IMMUNITY, PASSIVE",8,8
INCIDENCE RATE,9,9
INCUBATION PERIOD,10,10
MEDICAL SURVEILLANCE,8,8
MORTALITY RATE,10,10
NORMAL DISTRIBUTION,8,8
OBSERVATIONAL STUDY,8,8
ODDS RATIO,9,9
OUTBREAK,8,8
PANDEMIC,9,9
PERIOD PREVALENCE,8,8
POINT PREVALENCE,9,9
PREDICTIVE VALUE POSITIVE,8,8
PREVALENCE RATE,10,9
PUBLIC HEALTH SURVEILLANCE,9,9
RANDOM SAMPLE,10,10
RELATIVE RISK,8,8
RESERVOIR,9,9
RISK RATIO,8,8
SENSITIVITY,8,8
SPECIFICITY,8,8
VALIDITY,9,9
VECTOR,8,8
YEARS OF POTENTIAL LIFE LOST,8,8
ZOONOSES,8,8
