questions,score_gpt-3.5-turbo,score_gpt-3.5-turbo-16k
AGE-ADJUSTED MORTALITY RATE,9,9
ATTRIBUTABLE PROPORTION,8,9
BIAS,9,9
CARRIER,9,9
CASE,8,8
CASE-CONTROL STUDY,8,8
CAUSE-SPECIFIC MORTALITY RATE,8,8
CLUSTER,8,8
COHORT STUDY,9,9
ONFIDENCE INTERVAL,8,8
CONTAGIOUS,9,9
CONTROL,7,8
DEMOGRAPHIC INFORMATION,8,8
ENDEMIC DISEASE,9,9
EXPERIMENTAL STUDY,8,8
HEALTH INFORMATION SYSTEM,8,8
HOST,9,9
HYPERENDEMIC DISEASE,8,8
"IMMUNITY, PASSIVE",9,9
INCIDENCE RATE,9,9
INCUBATION PERIOD,10,10
MEDICAL SURVEILLANCE,8,8
MORTALITY RATE,9,9
NORMAL DISTRIBUTION,8,8
OBSERVATIONAL STUDY,8,8
ODDS RATIO,10,10
OUTBREAK,8,8
PANDEMIC,9,9
PERIOD PREVALENCE,8,8
POINT PREVALENCE,9,9
PREDICTIVE VALUE POSITIVE,8,8
PREVALENCE RATE,10,10
PUBLIC HEALTH SURVEILLANCE,8,8
RANDOM SAMPLE,9,9
RELATIVE RISK,8,8
RESERVOIR,8,8
RISK RATIO,8,8
SENSITIVITY,8,8
SPECIFICITY,9,9
VALIDITY,9,9
VECTOR,8,8
YEARS OF POTENTIAL LIFE LOST,8,8
ZOONOSES,9,9
