questions,score_gpt-4,score_gpt-3.5-turbo,score_gpt-3.5-turbo-16k
AGE-ADJUSTED MORTALITY RATE,10,10,10
ATTRIBUTABLE PROPORTION,10,10,10
BIAS,9,10,10
CARRIER,10,10,10
CASE,10,10,10
CASE-CONTROL STUDY,9,10,10
CAUSE-SPECIFIC MORTALITY RATE,10,10,10
CLUSTER,9,9,9
COHORT STUDY,9,10,10
ONFIDENCE INTERVAL,10,10,10
CONTAGIOUS,9,10,10
CONTROL,2,0,0
DEMOGRAPHIC INFORMATION,9,9,10
ENDEMIC DISEASE,9,10,10
EXPERIMENTAL STUDY,10,9,9
HEALTH INFORMATION SYSTEM,9,9,9
HOST,9,9,9
HYPERENDEMIC DISEASE,10,10,10
"IMMUNITY, PASSIVE",10,10,10
INCIDENCE RATE,10,10,10
INCUBATION PERIOD,9,10,10
MEDICAL SURVEILLANCE,4,9,9
MORTALITY RATE,10,10,10
NORMAL DISTRIBUTION,10,10,10
OBSERVATIONAL STUDY,9,10,10
ODDS RATIO,9,10,9
OUTBREAK,8,9,9
PANDEMIC,10,10,10
PERIOD PREVALENCE,9,10,9
POINT PREVALENCE,10,10,10
PREDICTIVE VALUE POSITIVE,6,5,8
PREVALENCE RATE,9,10,10
PUBLIC HEALTH SURVEILLANCE,9,10,10
RANDOM SAMPLE,10,10,10
RELATIVE RISK,10,10,10
RESERVOIR,10,10,10
RISK RATIO,9,9,10
SENSITIVITY,9,9,9
SPECIFICITY,10,10,9
VALIDITY,9,10,10
VECTOR,9,9,9
YEARS OF POTENTIAL LIFE LOST,9,10,10
ZOONOSES,10,10,10
